"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","cusp_pattern","hypocone_size","cingulum","region","latitude","true_species","simulation","true_n_species"
15.166515154114,14.1315591298688,15.6895124726765,14.2531051600899,10.6084349199254,"Region_1_001","Region_1","Y5","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
15.9191452708117,15.7152986437728,16.4410700955215,15.5720215828511,10.6800439833801,"Region_1_002","Region_1","Y4","large","absent","Region_1",0,"Widespread_Species","SIM5",1
15.0820932905465,13.8537876636776,15.9571945746977,14.4945211241815,9.7908149707681,"Region_1_003","Region_1","Y5","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
14.8080191240395,13.4626689328704,16.2737999416936,14.6381373567997,9.73000856849955,"Region_1_004","Region_1","Y5","medium","strong","Region_1",0,"Widespread_Species","SIM5",1
15.770381254648,14.1790388157139,16.6867844435908,15.0515478578482,10.150086706355,"Region_1_005","Region_1","Y5","large","weak","Region_1",0,"Widespread_Species","SIM5",1
15.4895471935254,14.8995308214287,17.0256936466473,15.8344439723332,10.357836801196,"Region_1_006","Region_1","Plus5","small","weak","Region_1",0,"Widespread_Species","SIM5",1
14.0426202699409,13.7182743956571,14.8326802236691,14.4079655298947,9.0572910824422,"Region_1_007","Region_1","Y4","large","weak","Region_1",0,"Widespread_Species","SIM5",1
16.3489060153995,14.3156372494765,15.9554089047237,14.0065054784527,10.2483952455177,"Region_1_008","Region_1","Y5","medium","absent","Region_1",0,"Widespread_Species","SIM5",1
14.8597479395197,13.4204380383252,15.1899082767993,14.1070647219366,9.94518136468874,"Region_1_009","Region_1","Y4","medium","strong","Region_1",0,"Widespread_Species","SIM5",1
14.9064837743413,13.903215200325,16.1996824300746,14.939258658854,10.4605540349207,"Region_1_010","Region_1","Y4","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
15.9092037188228,14.6226693278139,16.0835546221861,14.4847339894137,10.5203073298496,"Region_1_011","Region_1","Y4","large","absent","Region_1",0,"Widespread_Species","SIM5",1
